GivingCountry,ReceivingCountry,Points
north macedonia,spain,12
north macedonia,united kingdom,8
north macedonia,italy,7
north macedonia,sweden,6
north macedonia,ukraine,8
north macedonia,norway,2
north macedonia,poland,2
north macedonia,estonia,3
north macedonia,azerbaijan,4
north macedonia,moldova,7
north macedonia,lithuania,1
norway,united kingdom,175
norway,sweden,354
norway,denmark,207
norway,australia,28
norway,switzerland,140
norway,ireland,174
norway,malta,74
norway,croatia,39
norway,bosnia & herzegovina,42
norway,monaco,32
norway,germany,115
norway,romania,41
norway,austria,69
norway,netherlands,10
norway,cyprus,63
norway,yugoslavia,42
norway,italy,100
norway,the netherlands,114
norway,belgium,90
norway,israel,137
norway,france,189
norway,greece,78
norway,iceland,115
norway,latvia,36
norway,finland,126
norway,ukraine,26
norway,bulgaria,18
norway,luxembourg,61
norway,lithuania,41
norway,serbia & montenegro,6
norway,spain,86
norway,portugal,72
norway,armenia,11
norway,serbia,19
norway,turkey,43
norway,poland,42
norway,hungary,16
norway,north macedonia,10
norway,russia,43
norway,czech republic,16
norway, sweden,6
norway,estonia,45
norway,georgia,2
norway,moldova,17
norway,azerbaijan,23
norway,israel ,5
norway,albania,3
norway,slovenia,7
norway,denmark ,2
norway,czechia,4
poland,estonia,65
poland,turkey,10
poland,france,46
poland,greece,33
poland,russia,34
poland,portugal,26
poland,italy,40
poland,united kingdom,43
poland,iceland,12
poland,cyprus,21
poland,hungary,28
poland,armenia,18
poland,latvia,20
poland,denmark,17
poland,norway,61
poland,lithuania,16
poland,sweden,100
poland,israel,53
poland,malta,20
poland,ukraine,97
poland,spain,22
poland,finland,17
poland,albania,5
poland,serbia & montenegro,5
poland,belgium,46
poland,australia,35
poland,ireland,30
poland, sweden,4
poland,romania,15
poland,czechia,3
poland,croatia,33
poland,switzerland,41
poland,austria,24
poland,georgia,8
poland,germany,51
poland,azerbaijan,8
poland,bulgaria,9
poland,austria ,1
poland,slovenia,15
poland,the netherlands,32
poland,moldova,13
poland,serbia,9
poland,slovakia,5
poland,belarus,4
poland,bosnia & herzegovina,5
poland,netherlands,13
poland,czech republic,4
portugal,austria,78
portugal,malta,40
portugal,spain,173
portugal,france,153
portugal,finland,42
portugal,united kingdom,189
portugal,belgium,118
portugal,germany,169
portugal,ireland,130
portugal,sweden,125
portugal,italy,196
portugal,switzerland,116
portugal,monaco,31
portugal,the netherlands,75
portugal,luxembourg,97
portugal,estonia,31
portugal,denmark,57
portugal,cyprus,38
portugal,yugoslavia,30
portugal,albania,14
portugal,serbia,8
portugal,slovenia,12
portugal,moldova,54
portugal,norway,85
portugal,greece,68
portugal,iceland,68
portugal,ukraine,61
portugal,russia,24
portugal,romania,23
portugal,netherlands,12
portugal,israel,140
portugal,armenia,13
portugal,switzerland ,1
portugal,bulgaria,27
portugal,hungary,3
portugal,lithuania,18
portugal,turkey,16
portugal,latvia,15
portugal,azerbaijan,12
portugal,australia,17
portugal,poland,10
portugal,croatia,40
portugal,czechia,7
portugal,georgia,1
portugal,italy ,4
portugal,israel ,5
romania,spain,39
romania,israel,32
romania,moldova,121
romania,greece,109
romania,estonia,22
romania,france,18
romania,hungary,57
romania,turkey,70
romania,denmark,34
romania,azerbaijan,29
romania,switzerland,14
romania,russia,67
romania,norway,39
romania,ukraine,43
romania,serbia,25
romania,poland,22
romania,portugal,13
romania,germany,29
romania,belarus,1
romania,ireland,20
romania,austria,10
romania,malta,27
romania,sweden,72
romania,australia,15
romania,croatia,17
romania,albania,8
romania,cyprus,24
romania,italy,41
romania,finland,18
romania,the netherlands,17
romania,united kingdom,28
romania,serbia & montenegro,14
romania,belgium,26
romania,latvia,7
romania,netherlands,3
romania,lithuania,1
romania,armenia,25
romania, sweden,12
romania,iceland,10
romania,slovenia,11
romania,north macedonia,25
romania,bosnia & herzegovina,7
romania,bulgaria,15
russia,belarus,33
russia,ukraine,92
russia,armenia,79
russia,israel,32
russia,france,61
russia,ireland,22
russia,switzerland,15
russia,north macedonia,11
russia,spain,22
russia,serbia,16
russia,cyprus,35
russia,azerbaijan,102
russia,greece,76
russia,norway,65
russia,turkey,16
russia,germany,34
russia,lithuania,28
russia,georgia,45
russia,the netherlands,22
russia,sweden,38
russia,moldova,52
russia,belgium,36
russia, cyprus,12
russia,slovenia,35
russia,iceland,13
russia,ukraine ,8
russia,united kingdom,38
russia,estonia,32
russia,poland,11
russia,croatia,17
russia,romania,39
russia,malta,50
russia,latvia,22
russia,hungary,15
russia,denmark,27
russia,finland,16
russia,italy,30
russia,australia,10
russia,albania,3
russia,austria,17
russia,bosnia & herzegovina,6
russia,bulgaria,10
russia,serbia & montenegro,16
russia,latvia ,1
russia,portugal,4
russia,san marino,5
san marino,spain,20
san marino,finland,16
san marino,latvia,8
san marino,france,11
san marino,greece,29
san marino,ukraine,22
san marino,israel,32
san marino,armenia,8
san marino,sweden,12
san marino,belgium,7
san marino,australia,11
san marino,italy,37
san marino,lithuania,12
san marino,portugal,11
san marino,serbia,8
san marino,austria,11
san marino,malta,1
san marino,united kingdom,10
san marino,ireland,7
san marino,norway,3
san marino,azerbaijan,7
san marino,cyprus,8
san marino,germany,1
san marino,poland,11
san marino,moldova,7
san marino,switzerland,23
san marino,estonia,17
san marino,albania,8
san marino,romania,1
san marino,croatia,8
san marino,netherlands,2
san-marino,united kingdom,5
san-marino,the netherlands,5
san-marino,bulgaria,3
san-marino,norway,3
san-marino,italy,22
san-marino,finland,4
san-marino,greece,16
san-marino,albania,9
san-marino,azerbaijan,16
san-marino,russia,11
san-marino,lithuania,6
san-marino,moldova,5
san-marino,iceland,14
san-marino,switzerland,6
san-marino,israel,1
san-marino,denmark,1
san-marino,france,12
san-marino,ukraine,5
san-marino,hungary,7
san-marino,cyprus,13
san-marino,malta,11
san-marino,sweden,10
san-marino,armenia,6
san-marino,north macedonia,1
serbia,france,43
serbia,portugal,15
serbia,slovenia,52
serbia,ik,7
serbia,sweden,68
serbia,belgium,22
serbia,spain,9
serbia,malta,17
serbia,norway,30
serbia,bulgaria,18
serbia,austria,18
serbia,israel,39
serbia,italy,47
serbia,australia,16
serbia,czechia,4
serbia,russia,53
serbia,latvia,2
serbia,iceland,12
serbia,armenia,12
serbia,bosnia & herzegovina,49
serbia,estonia,24
serbia,ukraine,47
serbia,greece,41
serbia,hungary,44
serbia,germany,28
serbia,north macedonia ,12
serbia,denmark,11
serbia,united kingdom,7
serbia,albania,6
serbia,switzerland,28
serbia,czech republic,9
serbia,croatia,27
serbia,north macedonia,34
serbia,azerbaijan,22
serbia,turkey,3
serbia,finland,29
serbia,romania,11
serbia,cyprus,23
serbia,montenegro,12
serbia,moldova,18
serbia,lithuania,24
serbia,ireland,2
serbia,the netherlands,15
serbia,san marino,1
serbia,belarus,2
slovakia,iceland,2
slovakia,ireland,17
slovakia,united kingdom,10
slovakia,estonia,8
slovakia,greece,13
slovakia,austria,3
slovakia,bosnia & herzegovina,8
slovakia,malta,34
slovakia,croatia,27
slovakia,cyprus,15
slovakia,portugal,2
slovakia,poland,6
slovakia,sweden,4
slovakia,belgium,7
slovakia,spain,2
slovakia,the netherlands,6
slovakia,north macedonia,3
slovakia,germany,7
slovenia,estonia,62
slovenia,italy,78
slovenia,cyprus,27
slovenia,austria,52
slovenia,russia,32
slovenia,malta,18
slovenia,united kingdom,36
slovenia,norway,65
slovenia,lithuania,20
slovenia,iceland,23
slovenia,croatia,70
slovenia,sweden,102
slovenia,the netherlands,42
slovenia,ireland,34
slovenia,serbia,66
slovenia,greece,16
slovenia,poland,12
slovenia,switzerland,43
slovenia,moldova,14
slovenia,australia,8
slovenia,france,46
slovenia,spain,18
slovenia,luxembourg,10
slovenia,hungary,8
slovenia,portugal,12
slovenia,latvia,18
slovenia,azerbaijan,10
slovenia,israel,35
slovenia,denmark,46
slovenia,czech republic,15
slovenia,germany,27
slovenia,albania,19
slovenia,belgium,17
slovenia,north macedonia,16
slovenia,bulgaria,7
slovenia,ukraine,31
slovenia,finland,10
slovenia,georgia,2
slovenia,netherlands,11
slovenia,bosnia & herzegovina,39
slovenia,croatia ,12
slovenia,turkey,13
slovenia,czechia,6
slovenia,montenegro,17
slovenia,armenia,7
spain,russia,57
spain,georgia,1
spain,iceland,62
spain,romania,132
spain,greece,132
spain,belgium,116
spain,denmark,83
spain,portugal,184
spain,ukraine,97
spain,the netherlands,110
spain,italy,239
spain,norway,75
spain,turkey,53
spain,austria,101
spain,united kingdom,166
spain,sweden,175
spain,switzerland,93
spain,estonia,43
spain,cyprus,70
spain,malta,97
spain,yugoslavia,51
spain,azerbaijan,35
spain,monaco,39
spain,israel,141
spain,france,166
spain,luxembourg,71
spain,ireland,161
spain,finland,60
spain,croatia,41
spain,slovenia,16
spain,hungary,24
spain,germany,239
spain,serbia & montenegro,6
spain,lithuania,8
spain,armenia,60
spain,bosnia & herzegovina,11
spain,latvia,29
spain,m,1
spain,austria ,3
spain,albania,1
spain,australia,41
spain,moldova,40
spain,poland,22
spain,czech republic,10
spain,norway ,12
spain,netherlands,10
spain,bulgaria,37
spain,israel ,6
spain,serbia,11
spain, the netherlands,6
spain,slovakia,2
sweden,iceland,125
sweden,switzerland,116
sweden,russia,49
sweden,israel,118
sweden,france,171
sweden,finland,165
sweden,austria,111
sweden,united kingdom,188
sweden,norway,219
sweden,spain,77
sweden,germany,125
sweden,turkey,45
sweden,ukraine,55
sweden,ireland,231
sweden,albania,12
sweden,netherlands,9
sweden,malta,87
sweden,belgium,79
sweden,armenia,18
sweden,croatia,27
sweden,the netherlands,116
sweden,yugoslavia,45
sweden,lithuania,26
sweden,latvia,26
sweden,luxembourg,83
sweden,azerbaijan,33
sweden,monaco,47
sweden,romania,16
sweden,bosnia & herzegovina,74
sweden,greece,69
sweden,portugal,64
sweden,cyprus,65
sweden,italy,104
sweden,denmark,192
sweden,hungary,39
sweden,iceland ,7
sweden,estonia,97
sweden, switzerland,1
sweden,poland,34
sweden,moldova,10
sweden,australia,59
sweden,czechia,8
sweden,portugal ,2
sweden,montenegro,2
sweden, germany,8
sweden, denmark,10
sweden,czech republic,7
sweden,slovenia,18
sweden,north macedonia,2
sweden,denmark ,4
sweden,serbia,31
sweden,bulgaria,17
sweden,israel ,4
sweden,serbia & montenegro,16
sweden,turkey ,4
switzerland,greece,88
switzerland,the netherlands,116
switzerland,france,189
switzerland,spain,156
switzerland,united kingdom,218
switzerland,denmark,35
switzerland,germany,131
switzerland,ireland,180
switzerland,sweden,155
switzerland,luxembourg,53
switzerland,monaco,40
switzerland,cyprus,36
switzerland,finland,78
switzerland,austria,75
switzerland,yugoslavia,28
switzerland,israel,151
switzerland,iceland,32
switzerland,croatia,48
switzerland,netherlands,16
switzerland,italy,167
switzerland,north macedonia,18
switzerland,portugal,84
switzerland,belgium,51
switzerland,norway,74
switzerland,serbia,43
switzerland,azerbaijan,3
switzerland,turkey,62
switzerland,bosnia & herzegovina,31
switzerland,poland,14
switzerland,yugoslavia ,1
switzerland,czechia,12
switzerland,romania,1
switzerland,estonia,15
switzerland,malta,53
switzerland,ukraine,8
switzerland,russia,8
switzerland,albania,49
switzerland,lithuania,4
switzerland,moldova,4
switzerland,bulgaria,10
switzerland,australia,10
switzerland,latvia,15
switzerland,portugal ,4
switzerland,armenia,9
switzerland,hungary,5
switzerland,slovenia,2
switzerland,serbia & montenegro,12
the-netherlands,russia,34
the-netherlands,cyprus,55
the-netherlands,spain,78
the-netherlands,sweden,144
the-netherlands,finland,55
the-netherlands,norway,118
the-netherlands,ireland,139
the-netherlands,united kingdom,152
the-netherlands,france,164
the-netherlands,germany,131
the-netherlands,lithuania,15
the-netherlands,belgium,134
the-netherlands,switzerland,145
the-netherlands,monaco,46
the-netherlands,israel,107
the-netherlands,hungary,29
the-netherlands,poland,24
the-netherlands,estonia,33
the-netherlands,iceland,54
the-netherlands,ukraine,18
the-netherlands,croatia,13
the-netherlands,italy,78
the-netherlands,turkey,62
the-netherlands,slovenia,11
the-netherlands,austria,74
the-netherlands,portugal,82
the-netherlands,malta,53
the-netherlands,greece,63
the-netherlands,denmark,115
the-netherlands,armenia,9
the-netherlands,serbia & montenegro,10
the-netherlands,yugoslavia,40
the-netherlands,luxembourg,81
the-netherlands,bosnia & herzegovina,5
the-netherlands,australia,18
the-netherlands, belgium,5
the-netherlands, greece,10
the-netherlands,azerbaijan,9
the-netherlands,moldova,5
the-netherlands,albania,2
the-netherlands,bulgaria,11
the-netherlands,north macedonia,3
the-netherlands,czech republic,10
the-netherlands,romania,1
the-netherlands,latvia,4
turkey,greece,65
turkey,spain,118
turkey,the netherlands,76
turkey,russia,43
turkey,sweden,80
turkey,denmark,25
turkey,ukraine,32
turkey,cyprus,1
turkey,germany,83
turkey,malta,78
turkey,hungary,10
turkey,ireland,119
turkey,azerbaijan,48
turkey,united kingdom,120
turkey,switzerland,60
turkey,slovenia,13
turkey,portugal,47
turkey,austria,66
turkey,iceland,23
turkey,israel,50
turkey,yugoslavia,80
turkey,albania,31
turkey,bosnia & herzegovina,119
turkey,luxembourg,26
turkey,bulgaria,6
turkey,finland,33
turkey,croatia,50
turkey,italy,76
turkey,belgium,63
turkey,armenia,44
turkey,north macedonia,24
turkey,latvia,6
turkey,romania,28
turkey,norway,51
turkey,france,38
turkey,moldova,22
turkey,estonia,22
turkey,georgia,14
turkey,poland,7
turkey,serbia & montenegro,8
turkey,austria ,4
turkey,monaco,5
ukraine,lithuania,67
ukraine,estonia,27
ukraine,france,41
ukraine,israel,42
ukraine,ireland,13
ukraine,denmark,13
ukraine,belarus,42
ukraine,russia,108
ukraine,austria,16
ukraine,poland,49
ukraine,norway,58
ukraine,portugal,35
ukraine,armenia,54
ukraine,iceland,16
ukraine,luxembourg,4
ukraine,czechia,8
ukraine,azerbaijan,86
ukraine,latvia,24
ukraine,spain,7
ukraine,sweden,79
ukraine,turkey,21
ukraine,moldova,71
ukraine,hungary,20
ukraine,czech republic,4
ukraine,slovenia,12
ukraine,bosnia & herzegovina,10
ukraine,finland,31
ukraine,germany,29
ukraine,north macedonia,6
ukraine,greece,28
ukraine,georgia,45
ukraine,croatia,35
ukraine,italy,33
ukraine,the netherlands,11
ukraine,switzerland,38
ukraine,united kingdom,35
ukraine,bulgaria,6
ukraine,serbia & montenegro,15
ukraine,australia,20
ukraine,romania,14
ukraine, norway,3
ukraine,belgium,28
ukraine,malta,25
ukraine,cyprus,8
ukraine,netherlands,8
ukraine,serbia,8
ukraine,russia ,12
united kingdom,italy,7
united kingdom,austria,8
united kingdom,belgium,7
united kingdom,ukraine,22
united kingdom,slovenia,1
united kingdom,spain,15
united kingdom,finland,20
united kingdom,portugal,15
united kingdom,poland,26
united kingdom,lithuania,29
united kingdom,azerbaijan,7
united kingdom,switzerland,12
united kingdom,luxembourg,8
united kingdom,greece,6
united kingdom,sweden,37
united kingdom,france,4
united kingdom,albania,5
united kingdom,moldova,9
united kingdom,israel,28
united kingdom,germany,2
united kingdom,serbia,1
united kingdom,estonia,14
united kingdom,malta,7
united kingdom,ireland,7
united kingdom,armenia,3
united kingdom,latvia,15
united kingdom,norway,13
united kingdom,romania,3
united kingdom,cyprus,1
united kingdom,croatia,8
united kingdom,denmark,10
united kingdom,australia,16
united-kingdom,romania,25
united-kingdom,denmark,129
united-kingdom,cyprus,87
united-kingdom,portugal,55
united-kingdom,greece,120
united-kingdom,the netherlands,109
united-kingdom,ukraine,44
united-kingdom,ireland,243
united-kingdom,italy,75
united-kingdom,lithuania,66
united-kingdom,finland,78
united-kingdom,sweden,215
united-kingdom,france,138
united-kingdom,belgium,117
united-kingdom,luxembourg,87
united-kingdom,switzerland,169
united-kingdom,israel,134
united-kingdom,germany,171
united-kingdom,malta,109
united-kingdom,estonia,59
united-kingdom,iceland,90
united-kingdom,spain,80
united-kingdom,bosnia & herzegovina,4
united-kingdom,north macedonia,12
united-kingdom,the netherlands ,1
united-kingdom,norway,128
united-kingdom,moldova,20
united-kingdom,monaco,55
united-kingdom,austria,126
united-kingdom,hungary,13
united-kingdom,yugoslavia,69
united-kingdom,turkey,94
united-kingdom,slovenia,16
united-kingdom,czech republic,6
united-kingdom,croatia,21
united-kingdom,russia,50
united-kingdom,latvia,47
united-kingdom,poland ,12
united-kingdom,bulgaria,30
united-kingdom,azerbaijan,12
united-kingdom,poland,28
united-kingdom,australia,37
united-kingdom,serbia,3
united-kingdom,belarus,1
united-kingdom, spain,5
united-kingdom,albania,9
united-kingdom,georgia,12
united-kingdom,serbia & montenegro,3
united-kingdom,san marino,3
yugoslavia,italy,94
yugoslavia,monaco,32
yugoslavia,france,93
yugoslavia,sweden,70
yugoslavia,finland,39
yugoslavia,the netherlands,67
yugoslavia,norway,27
yugoslavia,switzerland,80
yugoslavia,malta,17
yugoslavia,united kingdom,95
yugoslavia,belgium,42
yugoslavia,germany,52
yugoslavia,israel,61
yugoslavia,austria,41
yugoslavia,cyprus,52
yugoslavia,greece,17
yugoslavia,turkey,42
yugoslavia,iceland,4
yugoslavia,portugal,30
yugoslavia,spain,49
yugoslavia,luxembourg,61
yugoslavia,ireland,64
yugoslavia,switzerland ,1
yugoslavia,denmark,7
yugoslavia,luxembourg ,8
